"PUBLICATION_NUMBER","PUBLICATION_DATE","IPO_LOCATION","APPLICATION_TYPE_DESC","APPLICATION_NUMBER","DATE_OF_FILING","TITLE_OF_INVENTION","FIELD_OF_INVENTION","NO_OF_PAGES","NO_OF_CLAIMS","DATE_UPDATED_d_m_y"
"47/2017","24/11/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3103/KOLNP/2008","29/07/2008","HUMAN ANTI-IL-23 ANTIBODIES, COMPOSITIONS, METHODS AND USES","BIOTECHNOLOGY","179","65","19/04/2023"
"47/2017","24/11/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3107/KOLNP/2009","01/09/2009","CATALYTIC CONVERTER SYSTEM FOR CLEANING THE EXHAUST GASES OF A COMBUSTION ENGINE, WITH TWO CATALYTIC CONVERTERS ARRANGED IN SERIES","MECHANICAL","19","9","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3132/DELNP/2009","13/05/2009","""IMPROVEMENTS IN OR RELATING TO RETINAL SCANNING""","BIOMEDICAL","29","21","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3185/DELNP/2009","15/05/2009","""COKE OVEN WALL BRICKWORK STRUCTURE""","CHEMISTRY","30","7","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3260/DELNP/2010","10/05/2010","""A SHANK BIT""","CIVIL","14","12","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3390/CHENP/2013","30/04/2013","PIPERIDINONE CARBOXAMIDE AZAINDANE CGRP RECEPTOR ANTAGONISTS","CHEMISTRY","90","19","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","343/DELNP/2011","17/01/2011","""HETEROCYCLIC COMPOUNDS USED AS PESTICIDES""","CHEMISTRY","173","9","19/04/2023"
"47/2017","24/11/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3446/KOLNP/2008","25/08/2008","SOLUBLE, HIGHLY BRANCHED GLUCOSE POLYMERS FOR ENTERAL AND PARENTERAL NUTRITION AND FOR PERITONEAL DIALYSIS","FOOD","37","13","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3465/DELNP/2010","17/05/2010","SUCCINIC ACID PRODUCTION IN A EUKARYOTIC CELL","BIOTECHNOLOGY","136","17","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3469/DELNP/2010","17/05/2010","""HIGH-STRENGTH AND HIGH CONDUCTIVITY COPPER ROD OR WIRE""","METALLURGY","167","15","19/04/2023"
"47/2017","24/11/2017","Chennai","CONVENTION APPLICATION","354/CHE/2010","11/02/2010","AUTOMATIC ACTIVATION OF SPEED MEASUREMENT IN MOBILE DEVICE BASED ON AVAILABLE MOTION","COMMUNICATION","55","14","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3588/CHENP/2011","25/05/2011","COMPOSITION AND METHOD FOR CONTROLLING PESTS","CHEMISTRY","42","7","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","360/DELNP/2004","17/02/2004","""METHOD OF MANUFACTURING AN ENGRAVED PLATE""","MECHANICAL","27","19","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3600/CHENP/2011","25/05/2011","METHOD OF MAKING SUSTAINED RELEASE MICROPARTICLES","CHEMISTRY","58","19","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3649/CHENP/2011","27/05/2011","""A CATALYST SYSTEM FOR TREATING EXHAUST GAS STREAM CONTAINING NOx AND METHOD OF ITS PREPARATION”","CHEMISTRY","41","15","19/04/2023"
"47/2017","24/11/2017","Chennai","ORDINARY APPLICATION","367/CHE/2012","31/01/2012","A NOVEL METHOD FOR MAKING MICROCRYSTALLINE ALPHA ALUMINA BASED HIGH PERFORMANCE ABRASIVE GRAINS","CHEMISTRY","42","32","19/04/2023"
"47/2017","24/11/2017","Delhi","ORDINARY APPLICATION","372/DEL/2011","14/02/2011","AN ELECTROCHEMICAL COAGULATION PROCESS FOR THE REMOVAL OF NITRATE FROM DRINKING WATER","CHEMISTRY","15","11","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3744/DELNP/2010","26/05/2010","""METHOD AND DEVICE FOR RESPONDING TO TERMINATION SERVICE STATE CHANGE INDICATION""","ELECTRONICS","22","15","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3766/CHENP/2010","18/06/2010","METHOD AND DEVICES FOR CONTROLLING A VAPOUR FLOW IN VACUUM EVAPORATION","CHEMISTRY","23","24","19/04/2023"
"47/2017","24/11/2017","Chennai","CONVENTION APPLICATION","3852/CHE/2010","15/12/2010","POWER FACTOR CORRECTION CONVERTER AND CONTROL METHOD THEREOF","ELECTRICAL","22","15","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","3890/CHENP/2008","24/07/2008","SECURING DATA IN A NETWORKED ENVIRONMENT","COMPUTER","55","39","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","3917/DELNP/2013","02/05/2013","ANTIOXIDANT AND METHOD FOR PRODUCING METAL MATERIAL","CHEMISTRY","52","8","19/04/2023"
"47/2017","24/11/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","3961/KOLNP/2010","22/10/2010","FATTY ACID DERIVATIVES FOR ORAL ADMINISTRATION ENDOWED WITH HIGH PALATABILITY","CHEMISTRY","39","20","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4040/DELNP/2008","12/05/2008","INJECTOR HAVING A SEAL AND SUPPORTING RING","MECHANICAL","15","10","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4045/DELNP/2011","30/05/2011","O/W EMULSIFIED COMPOSITION","CHEMISTRY","31","10","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4055/DELNP/2009","19/06/2009","BIODEGRADABLE VASCULAR SUPPORT","MECHANICAL","51","15","19/04/2023"
"47/2017","24/11/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4055/KOLNP/2009","23/11/2009","METHOD FOR PREPARING MOLDING SAND","METALLURGY","23","13","19/04/2023"
"47/2017","24/11/2017","Chennai","ORDINARY APPLICATION","4106/CHE/2013","12/09/2013","A VEHICLE DRIVE SYSTEM","MECHANICAL","19","10","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4110/CHENP/2009","14/07/2009","A SECURITY MODULE HAVING A SECONDARY AGENT IN COORDINATION WITH A HOST AGENT","NA","33","20","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4249/DELNP/2011","06/06/2011","PROCESS FOR THE PREPARATION OF POLYURETDIONE RESINS","POLYMER","21","10","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4256/CHENP/2010","08/07/2010","I/Q IMBALANCE ESTIMATION AND CORRECTION IN A COMMUNICATION SYSTEM","ELECTRONICS","32","44","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","428/DELNP/2010","20/01/2010","“ADHESION AND COHESION MODIFIERS FOR ASPHALT”","CHEMISTRY","24","26","19/04/2023"
"47/2017","24/11/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4393/KOLNP/2009","17/12/2009","APPARATUS AT A SPINNING PREPARATION MACHINE FOR CHANGING SILVER CANS","TEXTILE","18","11","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","441/CHENP/2013","18/01/2013","FERMENTATION PROCESS","BIOCHEMISTRY","48","10","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","4455/CHENP/2010","15/07/2010","LOW PROFILE PLUGS","ELECTRICAL","37","20","19/04/2023"
"47/2017","24/11/2017","Delhi","ORDINARY APPLICATION","449/DEL/2009","09/03/2009","""AN IMPROVED SPEEDOMETER""","PHYSICS","29","20","19/04/2023"
"47/2017","24/11/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4523/KOLNP/2011","03/11/2011","DISPERSE DYE MIXTURES, THEIR PREPARATION AND USE","CHEMISTRY","22","10","19/04/2023"
"47/2017","24/11/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","4538/KOLNP/2007","26/11/2007","MOTOR VEHICLE OPERATING DATA COLLECTION AND ANALYSIS","MECHANICAL","59","20","19/04/2023"
"47/2017","24/11/2017","Delhi","ORDINARY APPLICATION","458/DEL/2009","09/03/2009","""NOVEL SUBSTITUTED SPIRO [INDOLINE-HETEROCYCLE]-CARBOXYLIC ACID DERIVATIVES AS ANTIDIABETIC AND METABOLIC DISORDER TRATING AGENTS""","CHEMISTRY","38","9","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","46/DELNP/2011","03/01/2011","BINDER COMPOSITION","CHEMISTRY","28","15","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4741/DELNP/2012","29/05/2012","""PHOTOALIGNMENT MATERIALS HAVING IMPROVED ADHESION""","POLYMER","54","16","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4761/DELNP/2012","29/05/2012","“SUBMICRO EMULSION OF PACLITAXEL USING STEROID COMPLEX AS INTERMEDIATE CARRIER”","CHEMISTRY","43","19","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","482/DELNP/2006","27/01/2006","""PRINTING MACHINE.""","MECHANICAL","18","17","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","4846/DELNP/2009","24/07/2009","""AN ANTIBODY BINDING TO BETA AMYLOID AND METHOD FOR PREPARING THE SAME""","BIOTECHNOLOGY","153","51","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","50/CHENP/2011","04/01/2011","MEDICATION DELIVERY DEVICE AND METHOD OF ASSEMBLING A MEDICATION DELIVERY DEVICE","CHEMISTRY","24","15","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5131/DELNP/2011","04/07/2011","“DESULFURIZING ADSORBENT, PREPARING PROCESS AND USE THEREOF”","CHEMISTRY","28","21","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","514/CHENP/2009","28/01/2009","NOVEL ENGINEERED MICROORGANISM PRODUCING HOMO-SUCCINIC ACID AND METHOD FOR PREPARING SUCCINIC ACID USING THE SAME","BIOTECHNOLOGY","36","17","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5149/DELNP/2009","10/08/2009","""DOSING AND/OR CONVEYANCE OF POWDERY AND/OR POURABLE SOLIDS""","MECHANICAL","42","24","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5212/DELNP/2012","13/06/2012","""OIL OR FAT COMPOSITION""","CHEMISTRY","33","2","19/04/2023"
"47/2017","24/11/2017","Chennai","ORDINARY APPLICATION","5273/CHE/2012","17/12/2012","COMPOUND OF FORMULA II AND PROCESS FOR THE PREPARATION OF ANIDULAFUNGIN","CHEMISTRY","9","11","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5338/DELNP/2006","14/09/2006","""SUBSTITUTED 4-ALKYL- AND 4-ALKANOYL-PIPERIDINE DERIVATIVES AND THEIR USE AS NEUROKININ ANTAGONISTS""","CHEMISTRY","75","13","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5351/DELNP/2007","11/07/2007","""2-(4-CYANOPHENYLAMINO) PYRIMIDINE OXIDE COMPOUNDS""","CHEMISTRY","22","7","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5368/DELNP/2008","20/06/2008","'MULTICYCLIC AMINO ACID DERIVATIVES AND METHODS OF THEIR USE'","CHEMISTRY","151","202","19/04/2023"
"47/2017","24/11/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","543/MUMNP/2012","05/03/2012","""ANTIBACTERIAL COMPOSITION COMPRISING BACTERIOPHAGE FOR PREVENTION OR TREATMENT OF INFECTIOUS DISEASES BY ONE OR MORE SALMONELLA STRAINS""","BIOTECHNOLOGY","47","12","19/04/2023"
"47/2017","24/11/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","544/MUMNP/2011","21/03/2011","""HYDROXYBUTYRATE ESTER AND MEDICAL USE THEREOF""","CHEMISTRY","37","25","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","5584/CHENP/2012","26/06/2012","A DEVICE FOR DISPLAYING BOTH CRITICAL AND NON-CRITICAL INFORMATION, AND AN AIRCRAFT INCORPORATING SUCH A DEVICE","PHYSICS","13","9","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","559/DELNP/2009","23/01/2009",""" DEVICE FOR GROWING LIVING CELLS THAT ARE NOT IN SUSPENSION IN A CONTINUOUS MANNER AND METHOD FOR GROWING SAID CELLS""","BIOTECHNOLOGY","37","45","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5619/DELNP/2012","22/06/2012","3-(3-AMINOPIPERIDIN-1-YL)-5-OXO-1, 2,4-TRIAZINE DERIVATES AS DIPEPTIDYL PEPTIDASE IV(DPP-IV) INHIBITORS","CHEMISTRY","78","17","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5622/DELNP/2013","21/06/2013","COMPOSITION AND METHOD FOR REDUCING HYDRATE AGGLOMERATION","CHEMISTRY","18","15","19/04/2023"
"47/2017","24/11/2017","Delhi","CONVENTION APPLICATION","573/DEL/2011","03/03/2011","""METHOD FOR PRODUCING HYDROPHOBICALLY MODIFIED ACRYLIC RHEOLOGY MODIFIERS""","NA","26","10","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5732/DELNP/2008","01/07/2008","""PROCESS FOR SEPARATING AIR BY CRYOGENIC DISTILLATION""","MECHANICAL","26","20","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5861/DELNP/2009","11/09/2009","""STIMULATION OF AN IMMUNE RESPONSE BY CATIONIC LIPIDS""","BIOTECHNOLOGY","113","28","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","5956/DELNP/2010","20/08/2010","METHOD FOR PRODUCING ISOTHIOCYANATE COMPOUND HAVING CARBOXYL GROUP","CHEMISTRY","28","18","19/04/2023"
"47/2017","24/11/2017","Delhi","CONVENTION APPLICATION","609/DEL/2007","21/03/2007","""METHOD AND APPARATUS FOR PROCESSING VIDEO DATA FOR DISPLAY ON A DISPLAY DEVICE""","COMPUTER","33","11","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","612/CHENP/2010","01/02/2010","A FLUID BED APPARATUS FOR COATING SOLID PARTICLES","CHEMISTRY","24","26","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6175/DELNP/2005","30/12/2005","""A WIND TURBINE""","ELECTRICAL","11","10","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6241/CHENP/2010","01/10/2010","PROCESS FOR MANUFACTURING ASPHALT","CHEMISTRY","15","9","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6263/DELNP/2008","17/07/2008","""PYRIMIDINE DERIVATIVES USED AS PI-3 KINASE INHIBITORS""","CHEMISTRY","255","54","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","630/DELNP/2011","27/01/2011","""MANUFACTURE OF AN AGGLOMERATE CONSISTING OF PHASE CHANGE MATERIAL AND HAVING CONTROLLED PROPERTIES""","CHEMISTRY","21","14","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6367/DELNP/2006","30/10/2006","""HIV INTEGRASE INHIBITORS""","CHEMISTRY","197","11","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6472/CHENP/2011","09/09/2011","NOVEL TRIAZINE DERIVATIVE AND PHARMACEUTICAL COMPOSITION COMPRISING THE SAME","CHEMISTRY","246","22","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6503/DELNP/2010","15/09/2010","""EDGE REINFORCING BARS PLUS SURFACE APPLIED STRIPE""","TEXTILE","27","25","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6525/DELNP/2008","25/07/2008","CHARGING AND LOCATION INDICATIONS IN A GENERIC ACCESS NETWORK","ELECTRONICS","28","23","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6574/DELNP/2010","18/09/2010","THERMOMETER","PHYSICS","36","10","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6644/DELNP/2010","21/09/2010","BIOMASS CARRIERS, METHOD AND APPARATUS FOR MANUFACTURE THEREOF AND FLUID TREATMENT SYSTEMS AND METHODS UTILIZING SAME","CHEMISTRY","55","17","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","6828/CHENP/2009","19/11/2009","SELF-OSCILLATING SWITCH CIRCUIT FOR USE IN A SWITCHING DC-DC-CONVERTER","ELECTRICAL","21","11","19/04/2023"
"47/2017","24/11/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","684/MUMNP/2010","07/04/2010","INHIBITORS OF THE INTERACTION BETWEEN MDM2 AND P53","BIOCHEMISTRY","117","16","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","6894/DELNP/2007","06/09/2007","""OVERMOLDED CONTAINERS AND METHODS OF MANUFACTURE AND USES THEREOF""","MECHANICAL","29","35","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","708/DELNP/2010","01/02/2010","""RESOURCE ALLOCATION""","ELECTRONICS","47","17","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","7116/CHENP/2010","03/11/2010","PYRIDYL INHIBITORS OF HEDGEHOG SIGNALLING","CHEMISTRY","264","37","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7220/DELNP/2011","20/09/2011","""SYSTEM SETUP FOR BIOLOGICAL METHANE POTENTIAL TEST""","BIOCHEMISTRY","22","12","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","7288/CHENP/2010","11/11/2010","2,6-DIAMINO-PYRIMIDIN-5-YL-CARBOXAMIDES AS SYK OR JAK KINASES INHIBITORS","CHEMISTRY","642","79","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7330/DELNP/2008","28/08/2008","""A COMPOUND OF FORMULA (I)""","CHEMISTRY","46","10","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7472/DELNP/2009","17/11/2009","""A REACTOR, PLANT AND PROCESS""","MECHANICAL","36","33","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","753/CHENP/2010","09/02/2010","KEEP-ALIVE FOR WIRELESS NETWORK","ELECTRONICS","55","110","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7578/DELNP/2008","08/09/2008","""A FLUID CONNECTOR FOR FLUID DELIVERY APPARATUS""","BIOMEDICAL","32","31","19/04/2023"
"47/2017","24/11/2017","Delhi","CONVENTION APPLICATION","761/DEL/2007","04/04/2007","""ADAPTIVE SELECTION OF IMAGE STREAMING MODE""","ELECTRONICS","20","10","19/04/2023"
"47/2017","24/11/2017","Kolkata","CONVENTION APPLICATION","764/KOL/2009","19/05/2009","NEEDLE-DRIVEN KNOCK-OVER SINKER","TEXTILE","25","10","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","7705/CHENP/2010","29/11/2010","SYSTEM AND METHOD FOR PROCESSING FLUE GAS","CHEMISTRY","30","16","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7747/DELNP/2009","27/11/2009","""INTAGLIO PRINTING PRESS SYSTEMS FOR RECTO-VERSO INTAGLIO-PRINTING OF SHEETS""","MECHANICAL","41","17","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","7760/CHENP/2010","01/12/2010","ARTIFICIAL TERMITE EGG HAVING &#946;-GLUCOSIDASE AS TERMITE EGG RECOGNITION PHEROMONE, AND CONTROL OF TERMITES USING THE SAME","MECHANICAL","37","9","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7894/DELNP/2008","17/09/2008","“A SYSTEM FOR GENERATING ELECTRIC ENERGY”","ELECTRICAL","24","29","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","7923/CHENP/2010","07/12/2010","RECTIFYING DEVICE OF VEHICLE ALTERNATOR","ELECTRICAL","19","3","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","7957/DELNP/2006","28/12/2006","""NANOPARTICLES OF A DERIVATIVE OF 2;,2'-DIFLUORO-2'-DEOXYCYTIDINE AND PROCESS FOR PREPARING THE SAME""","CHEMISTRY","25","15","19/04/2023"
"47/2017","24/11/2017","Delhi","ORDINARY APPLICATION","814/DEL/2010","01/04/2010","""SINGLE STAGE PREPARATION AND FINISHING OF COTTON FABRICS USING ENZYMES.""","TEXTILE","18","6","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","8225/CHENP/2012","25/09/2012","BLACK METAL SHEET","METALLURGY","83","16","19/04/2023"
"47/2017","24/11/2017","Chennai","CONVENTION APPLICATION","832/CHE/2007","18/04/2007","OPTIMIZATION OF STORAGE AND DELIVERY OF MARKUP LANGUAGE FILES","COMPUTER","22","20","19/04/2023"
"47/2017","24/11/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","833/MUMNP/2006","14/07/2006","MULTIPROCESSOR MOBILE TERMINAL WITH SHARED MEMORY ARBITRATION","COMPUTER","20","19","19/04/2023"
"47/2017","24/11/2017","Mumbai","ORDINARY APPLICATION","836/MUM/2009","31/03/2009","METHOD FOR IMPROVING RELIABILITY OF ODOMETER AND VEHICLE SPEED FUNCTIONALITY","ELECTRONICS","20","14","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","8438/DELNP/2011","31/10/2011","""A PLASTIC ARTICLE""","POLYMER","34","20","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","8571/CHENP/2010","29/12/2010","METHOD FOR USING INACTIVATED JAPANESE ENCEPHALITIS VIRUS PARTICLES AS ADJUVANT","CHEMISTRY","36","8","19/04/2023"
"47/2017","24/11/2017","Chennai","ORDINARY APPLICATION","87/CHE/2012","09/01/2012","An animal concentrate feed mix with Curcuma aromatica for Reduction of methane","BIOTECHNOLOGY","9","10","19/04/2023"
"47/2017","24/11/2017","Kolkata","CONVENTION APPLICATION","91/KOL/2008","11/01/2008","SURGICAL STAPLING DEVICE WITH A CURVED CUTTING MEMBER","MECHANICAL","73","10","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9104/DELNP/2008","30/10/2008","""PYRAZOLO [3, 4-D] PYRIMIDINE DERIVATIVES USEFUL TO TREAT RESPIRATORY DISORDERS""","CHEMISTRY","79","10","19/04/2023"
"47/2017","24/11/2017","Chennai","ORDINARY APPLICATION","922/CHE/2010","01/04/2010","A SINGLE MODE FIBER OPTIC CONNECTOR FOR UNDERWATER APPLICATION","ELECTRICAL","11","4","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","9303/CHENP/2012","31/10/2012","ENZYME GRANULES","BIOTECHNOLOGY","34","18","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9404/DELNP/2008","10/11/2008","""STABILIZED INSULIN-LIKE GROWTH FACTOR POLYPEPTIDES""","BIOTECHNOLOGY","70","35","19/04/2023"
"47/2017","24/11/2017","Mumbai","ORDINARY APPLICATION","95/MUM/2011","11/01/2011","""AN ELECTRODE FOR A FUEL CELL""","CHEMISTRY","18","8","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9518/DELNP/2008","14/11/2008","METHOD OF PROTEIN EXTRACTION FROM CELLS","BIOTECHNOLOGY","29","45","19/04/2023"
"47/2017","24/11/2017","Chennai","PCT NATIONAL PHASE APPLICATION","9676/CHENP/2011","22/12/2011","METHOD FOR PRODUCING CARBON MATERIALS","CHEMISTRY","24","2","19/04/2023"
"47/2017","24/11/2017","Delhi","PCT NATIONAL PHASE APPLICATION","9895/DELNP/2008","27/11/2008","""COMPOSITE PANEL""","MECHANICAL","16","8","19/04/2023"
"48/2017","01/12/2017","Kolkata","CONVENTION APPLICATION","1002/KOL/2006","28/09/2006","ELECTROACTIVE POLYMER-BASED ARTICULATION MECHANISM FOR CIRCULAR STAPLER","BIOMEDICAL","24","9","19/04/2023"
"48/2017","01/12/2017","Kolkata","PCT NATIONAL PHASE APPLICATION","1012/KOLNP/2008","07/03/2008","METHOD AND APPARATUS FOR SHORT-ARC WELDING","METALLURGY","13","14","19/04/2023"
"48/2017","01/12/2017","Delhi","PCT NATIONAL PHASE APPLICATION","10167/DELNP/2007","28/12/2007","""A novel compound 3-{[5-(azetidin-1-ylcarbonyl)pyrazin-2-yl]oxy}-5-{[(1S)-1-methyl-2-(methyloxy)ethyl]oxy}-N-(5-methylpyrazin-2-yl)benzamide""","CHEMISTRY","267","12","19/04/2023"
"48/2017","01/12/2017","Delhi","PCT NATIONAL PHASE APPLICATION","10344/DELNP/2008","15/12/2008","""A METHOD FOR PURIFYING REBAUDIOXIDE A""","CHEMISTRY","50","38","19/04/2023"
"48/2017","01/12/2017","Chennai","ORDINARY APPLICATION","1043/CHE/2009","06/05/2009","An Improved Electrocoagulator For Effluent Treatment","CHEMISTRY","59","36","19/04/2023"
"48/2017","01/12/2017","Delhi","PCT NATIONAL PHASE APPLICATION","10521/DELNP/2012","04/12/2012","THERMOPLASTIC ELASTOMER COMPOSITION AND 
MOLDED PRODUCTS USING THE SAME","POLYMER","101","14","19/04/2023"
"48/2017","01/12/2017","Mumbai","PCT NATIONAL PHASE APPLICATION","106/MUMNP/2008","22/01/2008","POROUS IMPLANT","BIOMEDICAL","16","20","19/04/2023"
"48/2017","01/12/2017","Delhi","ORDINARY APPLICATION","1075/DEL/2015","17/04/2015","DIFFRACTIVE-REFRACTIVE LENS","BIOMEDICAL","15","8","19/04/2023"
"48/2017","01/12/2017","Delhi","PCT NATIONAL PHASE APPLICATION","10772/DELNP/2008","30/12/2008","A METHOD FOR MAKING ZIRCONIUM DOPED ALKALI METAL TITANATE","CHEMISTRY","17","22","19/04/2023"
